Artist,Album,Type
10 cc,10cc,Studio
10 cc,Sheet Music,Studio
10 cc,The Original Soundtrack,Studio
10 cc,How Dare You!,Studio
10 cc,Deceptive Bends,Studio
10 cc,Bloody Tourists,Studio
10 cc,Look Hear?,Studio
10 cc,Ten Out of 10,Studio
10 cc,Windows in the Jungle,Studio
10 cc,…Meanwhile,Studio
10 cc,Mirror Mirror,Studio
10 cc,Live and Let Live,Live
10 cc,The Best of 10cc Live,Live
10 cc,100cc,Compilation
10 cc,Greatest Hits 1972-1978,Compilation
10 cc,Changing Faces - The Very Best of 10cc and Godley & Creme,Compilation
10 cc,The Very Best of 10cc,Compilation
10 cc,Strawberry Bubblegum: A Collection of Pre-10CC Strawberry Studio Recordings 1969–1972,Compilation
10 cc,Greatest Hits ... And More,Compilation
10 cc,Greatest Songs and More (Great Box),Box set
10 cc,Consequences,Studio
10 cc,L,Studio
10 cc,Freeze Frame,Studio
10 cc,Ismism,Studio
10 cc,Birds of Prey,Studio
10 cc,The History Mix Volume 1,Studio
10 cc,Goodbye Blue Sky,Studio
10 cc,Changing Faces - The Very Best of 10cc and Godley & Creme,Compilation
10 cc,Greatest Hits ... And More,Compilation
10 cc,The Very Best of 10cc,Compilation
2 Chainz,Based on a T.R.U. Story,Studio
2 Chainz,B.O.A.T.S. II: Me Time,Studio
2 Chainz,Pretty Girls Like Trap Music,Studio
2 Chainz,Rap or Go to the League,Studio
2 Chainz,ColleGrove,Collaboration
2 Chainz,Cruel Summer,Compilation
2 Chainz,T.R.U. REALigion,Mixtape
2 Chainz,Daniel Son; Necklace Don,Mixtape
3 Doors Down,The Better Life,Studio
3 Doors Down,Away from the Sun,Studio
3 Doors Down,Seventeen Days,Studio
3 Doors Down,3 Doors Down,Studio
3 Doors Down,Time of My Life,Studio
3 Doors Down,Us and the Night,Studio
3 Doors Down,The Greatest Hits,Compilation
3 Doors Down,Another 700 Miles,Extended Play
3 Doors Down,Acoustic EP,Extended Play
3 Doors Down,Where My Christmas Lives,Extended Play
4minute,For Muzik,Extended Play
4minute,Hit Your Heart,Extended Play
4minute,Volume Up,Extended Play
4minute,Name Is 4Minute,Extended Play
4minute,4Minute World,Extended Play
4minute,Crazy,Extended Play
4minute,Act. 7,Extended Play
4minute,Best of 4Minute,Compilation
The 1975,The 1975,Studio
The 1975,"I Like It When You Sleep, for You Are So Beautiful yet So Unaware of It",Studio
The 1975,A Brief Inquiry into Online Relationships,Studio
The 1975,Notes on a Conditional Form,Studio
The 1975,Facedown,Extended Play
The 1975,Sex,Extended Play
The 1975,Music for Cars,Extended Play
The 1975,IV,Extended Play
5 Seconds of Summer,5 Seconds of Summer,Studio
5 Seconds of Summer,Sounds Good Feels Good,Studio
5 Seconds of Summer,Youngblood,Studio
5 Seconds of Summer,LiveSOS,Live
5 Seconds of Summer,Meet You There Tour Live,Live
50 Cent,Power of the Dollar,Studio
50 Cent,Get Rich or Die Tryin',Studio
50 Cent,The Massacre,Studio
50 Cent,Curtis,Studio
50 Cent,Before I Self Destruct,Studio
50 Cent,Animal Ambition,Studio
50 Cent,Street King Immortal,Studio
50 Cent,Guess Who's Back?,Compilation
50 Cent,24 Shots,Compilation
50 Cent,Best Of,Compilation
50 Cent,Get Rich or Die Tryin' OST,Soundtrack
50 Cent,50 Cent Is the Future,Mixtape
50 Cent,"No Mercy, No Fear",Mixtape
50 Cent,God's Plan,Mixtape
50 Cent,War Angel LP,Mixtape
50 Cent,Forever King,Mixtape
50 Cent,The Big 10,Mixtape
50 Cent,The Lost Tape,Mixtape
50 Cent,5 (Murder by Numbers),Mixtape
50 Cent,The Kanan Tape,Mixtape
50 Cent,Beg for Mercy,Studio
50 Cent,T·O·S (Terminate on Sight),Studio
50 Cent,Power of the Dollar,Studio
50 Cent,Get Rich or Die Tryin',Studio
50 Cent,The Massacre,Studio
50 Cent,Curtis,Studio
50 Cent,Before I Self Destruct,Studio
50 Cent,Animal Ambition,Studio
50 Cent,Street King Immortal,Studio
50 Cent,Guess Who's Back?,Compilation
50 Cent,24 Shots,Compilation
50 Cent,Best Of,Compilation
50 Cent,Get Rich or Die Tryin' OST,Soundtrack
50 Cent,50 Cent Is the Future,Mixtape
50 Cent,"No Mercy, No Fear",Mixtape
50 Cent,God's Plan,Mixtape
