Artist,Type,Releases,# Albums in Catalog,Percentage of Catalog
 Katy Perry,Collaboration,6,11,0.5454545454545454
 Katy Perry,Studio,5,11,0.45454545454545453
10 cc,Box set,1,30,0.03333333333333333
10 cc,Compilation,9,30,0.3
10 cc,Live,2,30,0.06666666666666667
10 cc,Studio,18,30,0.6
2 Chainz,Collaboration,1,8,0.125
2 Chainz,Compilation,1,8,0.125
2 Chainz,Mixtape,2,8,0.25
2 Chainz,Studio,4,8,0.5
3 Doors Down,Compilation,1,10,0.1
3 Doors Down,Extended Play,3,10,0.3
3 Doors Down,Studio,6,10,0.6
4minute,Compilation,1,8,0.125
4minute,Extended Play,7,8,0.875
5 Seconds of Summer,Live,2,5,0.4
5 Seconds of Summer,Studio,3,5,0.6
50 Cent,Compilation,6,44,0.13636363636363635
50 Cent,Mixtape,18,44,0.4090909090909091
50 Cent,Soundtrack,2,44,0.045454545454545456
50 Cent,Studio,18,44,0.4090909090909091
6ix9ine,Mixtape,1,2,0.5
6ix9ine,Studio,1,2,0.5
A R Rahman,Live,1,53,0.018867924528301886
A R Rahman,Soundtrack,48,53,0.9056603773584906
A R Rahman,Studio,4,53,0.07547169811320754
ABBA,Compilation,62,118,0.5254237288135594
ABBA,Live,4,118,0.03389830508474576
ABBA,Other,24,118,0.2033898305084746
ABBA,Remix,2,118,0.01694915254237288
ABBA,Studio,26,118,0.22033898305084745
Aaliyah,Compilation,2,5,0.4
Aaliyah,Studio,3,5,0.6
Abandon All Ships,Studio,3,3,1.0
Ace Hood,Compilation,2,6,0.3333333333333333
Ace Hood,Studio,4,6,0.6666666666666666
Ace of Base,Box set,2,15,0.13333333333333333
Ace of Base,Compilation,6,15,0.4
Ace of Base,Studio,7,15,0.4666666666666667
Afrojack,Studio,1,1,1.0
Akon,Extended Play,1,8,0.125
Akon,Studio,7,8,0.875
Alessia Cara,Studio,2,2,1.0
Alexander Rybak,Studio,4,4,1.0
Alison Krauss,Compilation,4,16,0.25
Alison Krauss,Studio,12,16,0.75
All Time Low,Extended Play,2,10,0.2
All Time Low,Live,1,10,0.1
All Time Low,Studio,7,10,0.7
Aloe Blacc,Extended Play,1,4,0.25
Aloe Blacc,Studio,3,4,0.75
Alphabeat,Studio,3,3,1.0
Alter Bridge,Live,4,10,0.4
Alter Bridge,Studio,6,10,0.6
Amaranthe,Compilation,1,7,0.14285714285714285
Amaranthe,Extended Play,1,7,0.14285714285714285
Amaranthe,Studio,5,7,0.7142857142857143
Amy Winehouse,Live,1,5,0.2
Amy Winehouse,Studio,3,5,0.6
Amy Winehouse,Video,1,5,0.2
Anastacia,Compilation,2,12,0.16666666666666666
Anastacia,Live,1,12,0.08333333333333333
Anastacia,Studio,7,12,0.5833333333333334
Anastacia,Video,2,12,0.16666666666666666
Anberlin,Compilation,3,10,0.3
Anberlin,Studio,7,10,0.7
Andrea Bocelli,Compilation,4,36,0.1111111111111111
Andrea Bocelli,Live,3,36,0.08333333333333333
Andrea Bocelli,Other,2,36,0.05555555555555555
Andrea Bocelli,Studio,16,36,0.4444444444444444
Andrea Bocelli,Video,11,36,0.3055555555555556
Angels & Airwaves,Studio,5,5,1.0
Anggun,Compilation,3,18,0.16666666666666666
Anggun,Other,3,18,0.16666666666666666
Anggun,Soundtrack,1,18,0.05555555555555555
Anggun,Studio,11,18,0.6111111111111112
Apink,Extended Play,7,8,0.875
Apink,Other,1,8,0.125
Apocalyptica,Compilation,2,13,0.15384615384615385
Apocalyptica,Live,1,13,0.07692307692307693
Apocalyptica,Soundtrack,2,13,0.15384615384615385
Apocalyptica,Studio,8,13,0.6153846153846154
Arcade Fire,Studio,5,5,1.0
Ariana Grande,Compilation,4,10,0.4
Ariana Grande,Soundtrack,1,10,0.1
Ariana Grande,Studio,5,10,0.5
Armin Van Buuren,Compilation,1,7,0.14285714285714285
Armin Van Buuren,Studio,6,7,0.8571428571428571
Arnaldo Antunes,Compilation,3,25,0.12
Arnaldo Antunes,Live,7,25,0.28
Arnaldo Antunes,Studio,15,25,0.6
Art Garfunkel,Compilation,18,39,0.46153846153846156
Art Garfunkel,Live,5,39,0.1282051282051282
Art Garfunkel,Soundtrack,1,39,0.02564102564102564
Art Garfunkel,Studio,15,39,0.38461538461538464
Asher Roth,Studio,2,2,1.0
Ashes Divide,Studio,1,1,1.0
Ashlee Simpson,Compilation,2,12,0.16666666666666666
Ashlee Simpson,Studio,10,12,0.8333333333333334
Atreyu,Compilation,1,9,0.1111111111111111
Atreyu,Studio,7,9,0.7777777777777778
Atreyu,Tribute,1,9,0.1111111111111111
Audioslave,Studio,3,3,1.0
August Burns Red,Live,1,9,0.1111111111111111
August Burns Red,Studio,8,9,0.8888888888888888
Aura Dione,Studio,2,2,1.0
Avenged Sevenfold,Studio,7,7,1.0
Avicii,Extended Play,3,6,0.5
Avicii,Studio,3,6,0.5
Backstreet Boys,Compilation,5,16,0.3125
Backstreet Boys,Live,2,16,0.125
Backstreet Boys,Studio,9,16,0.5625
Barenaked Ladies,Compilation,3,23,0.13043478260869565
Barenaked Ladies,Live,4,23,0.17391304347826086
Barenaked Ladies,Studio,16,23,0.6956521739130435
Bee Gees,Compilation,16,44,0.36363636363636365
Bee Gees,Extended Play,2,44,0.045454545454545456
Bee Gees,Live,2,44,0.045454545454545456
Bee Gees,Soundtrack,2,44,0.045454545454545456
Bee Gees,Studio,22,44,0.5
Belinda Peregrín,Collaboration,8,21,0.38095238095238093
Belinda Peregrín,Other,9,21,0.42857142857142855
Belinda Peregrín,Studio,4,21,0.19047619047619047
Beni Arashiro,Live,4,7,0.5714285714285714
Beni Arashiro,Other,3,7,0.42857142857142855
Benny Benassi,Compilation,10,16,0.625
Benny Benassi,Studio,6,16,0.375
Big Sean,Mixtape,2,7,0.2857142857142857
Big Sean,Studio,5,7,0.7142857142857143
Big Time Rush,Extended Play,1,4,0.25
Big Time Rush,Studio,3,4,0.75
Björk,Box set,4,48,0.08333333333333333
Björk,Collaboration,2,48,0.041666666666666664
Björk,Compilation,5,48,0.10416666666666667
Björk,Live,7,48,0.14583333333333334
Björk,Remix,5,48,0.10416666666666667
Björk,Soundtrack,2,48,0.041666666666666664
Björk,Studio,13,48,0.2708333333333333
Björk,Video,10,48,0.20833333333333334
Black Tide,Extended Play,4,7,0.5714285714285714
Black Tide,Studio,3,7,0.42857142857142855
Black Veil Brides,Extended Play,1,6,0.16666666666666666
Black Veil Brides,Studio,5,6,0.8333333333333334
Blackpink,Extended Play,3,4,0.75
Blackpink,Studio,1,4,0.25
Blink182,Compilation,2,13,0.15384615384615385
Blink182,Live,1,13,0.07692307692307693
Blink182,Studio,7,13,0.5384615384615384
Blink182,Video,3,13,0.23076923076923078
Bloodhound Gang,Compilation,1,6,0.16666666666666666
Bloodhound Gang,Studio,5,6,0.8333333333333334
Bloom 06,Studio,2,2,1.0
Blue October,Live,4,13,0.3076923076923077
Blue October,Studio,9,13,0.6923076923076923
Bob Marley,Box set,2,31,0.06451612903225806
Bob Marley,Compilation,8,31,0.25806451612903225
Bob Marley,Live,5,31,0.16129032258064516
Bob Marley,Remix,3,31,0.0967741935483871
Bob Marley,Studio,13,31,0.41935483870967744
Bob Sinclar,Remix,1,5,0.2
Bob Sinclar,Studio,4,5,0.8
Bobby McFerrin,Compilation,4,14,0.2857142857142857
Bobby McFerrin,Live,3,14,0.21428571428571427
